frame_index,time,road,lane,vehicle_class,vehicle_id,event_type
468,18.72,L,m,car,338,overdrive
741,29.64,L,r,car,406,cruise
927,37.08,R,l,car,602,overdrive
1117,44.68,L,m,truck,643,cruise
1326,53.04,L,r,car,833,overdrive
1351,54.04,L,l,car,818,overdrive
1414,56.56,L,m,truck,890,overdrive
1643,65.72,R,l,car,983,overdrive
2216,88.64,L,m,car,1136,overdrive
2257,90.28,L,m,car,1199,overdrive
2325,93.0,L,l,car,1244,overdrive
2423,96.92,R,l,car,1324,overdrive
3138,125.52,R,l,car,1738,overdrive
3260,130.4,R,l,car,1773,overdrive
3514,140.56,R,r,truck,1898,cruise
3629,145.16,R,m,truck,1949,overdrive
3718,148.72,R,r,bus,1977,cruise
3844,153.76,R,r,car,2029,cruise
3976,159.04,L,l,car,2100,overdrive
4148,165.92,L,m,car,2298,cruise
4799,191.96,L,l,car,2753,overdrive
5073,202.92,R,m,truck,2908,overdrive
5596,223.84,R,r,truck,3148,overdrive
6595,263.8,L,m,car,3584,overdrive
6809,272.36,L,r,car,3664,overdrive
6977,279.08,R,r,truck,3760,overdrive
7120,284.8,R,r,truck,3806,cruise
7137,285.48,R,m,truck,3809,cruise
7177,287.08,R,l,car,3831,overdrive
7222,288.88,L,l,car,3850,overdrive
7370,294.8,L,l,car,3899,overdrive
7420,296.8,L,l,car,3931,overdrive
7469,298.76,L,l,car,3966,overdrive
7663,306.52,R,r,bus,4025,overdrive
7692,307.68,R,m,truck,4038,overdrive
8214,328.56,R,r,car,4274,overdrive
8528,341.12,R,m,truck,4489,overdrive
8571,342.84,R,r,truck,4501,cruise
9343,373.72,R,m,car,4874,overdrive
9344,373.76,L,l,car,4883,overdrive
9369,374.76,R,r,car,4896,overdrive
9396,375.84,L,l,car,4930,overdrive
9594,383.76,L,r,truck,5040,cruise
9769,390.76,L,m,car,5095,overdrive
9829,393.16,L,r,truck,5106,cruise
10024,400.96,L,l,car,5184,overdrive
10345,413.8,L,l,car,5307,overdrive
10948,437.92,R,r,truck,5693,cruise
11252,450.08,L,m,truck,5791,cruise
11667,466.68,L,m,car,6108,overdrive
11800,472.0,R,m,car,6174,overdrive
12105,484.2,R,l,car,6336,overdrive
12165,486.6,R,m,car,6360,cruise
12739,509.56,L,r,car,6551,cruise
12973,518.92,R,r,truck,6727,cruise
13051,522.04,R,m,car,6782,overdrive
13244,529.76,L,r,car,6833,cruise
13281,531.24,L,m,car,6922,overdrive
14020,560.8,R,l,car,7225,overdrive
14374,574.96,L,r,bus,7431,cruise
14483,579.32,L,l,car,7539,cruise
14538,581.52,L,l,car,7607,overdrive
14729,589.16,L,m,car,7691,overdrive
15055,602.2,L,l,car,7908,overdrive
15728,629.12,R,r,bus,8279,overdrive
16065,642.6,L,m,car,8424,overdrive
16091,643.64,R,r,bus,8475,overdrive
16251,650.04,R,l,car,8514,overdrive
16317,652.68,L,r,car,8513,cruise
16526,661.04,L,l,car,8639,overdrive
16999,679.96,L,r,car,8843,overdrive
17537,701.48,R,r,truck,9061,cruise
17665,706.6,L,l,car,9115,overdrive
17862,714.48,L,m,car,9204,overdrive
18132,725.28,R,r,truck,9322,overdrive
18523,740.92,R,r,bus,9448,overdrive
18593,743.72,L,l,car,9518,overdrive
18739,749.56,R,l,car,9574,overdrive
18924,756.96,R,l,car,9676,overdrive
18925,757.0,R,r,truck,9657,cruise
19180,767.2,R,m,car,9902,overdrive
19204,768.16,L,r,car,9799,cruise
20364,814.56,L,m,car,10792,overdrive
20440,817.6,R,r,car,10809,cruise
20697,827.88,R,r,truck,10996,cruise
20786,831.44,L,r,truck,11116,cruise
20820,832.8,L,r,car,10861,overdrive
21460,858.4,L,m,truck,11353,cruise
21563,862.52,L,r,truck,11441,cruise
21629,865.16,L,r,truck,11430,cruise
21868,874.72,L,l,car,11628,overdrive
22449,897.96,L,l,car,11854,overdrive
22467,898.68,R,l,car,11860,overdrive
22515,900.6,R,l,car,11885,overdrive
22645,905.8,L,r,truck,11898,cruise
22746,909.84,L,r,truck,11935,cruise
22915,916.6,L,r,car,12040,cruise
23009,920.36,R,l,car,12180,overdrive
23397,935.88,L,r,bus,12358,overdrive
23446,937.84,L,l,car,12373,overdrive
23472,938.88,L,l,car,12414,overdrive
23717,948.68,R,l,car,12556,overdrive
23997,959.88,R,m,car,12758,overdrive
24140,965.6,R,m,car,12862,overdrive
24241,969.64,L,m,bus,12932,overdrive
24262,970.48,L,r,truck,12871,cruise
24380,975.2,L,m,truck,13036,overdrive
24381,975.24,L,m,car,12971,cruise
24411,976.44,L,r,truck,12958,cruise
24440,977.6,R,l,car,13072,overdrive
24466,978.64,L,l,car,13118,overdrive
25045,1001.8,R,r,car,13576,cruise
25673,1026.92,L,l,car,13998,overdrive
25956,1038.24,R,r,bus,14164,overdrive
26172,1046.88,L,r,truck,14227,cruise
26852,1074.08,L,r,truck,14539,cruise
26912,1076.48,R,r,bus,14606,cruise
27734,1109.36,L,r,truck,14989,cruise
27779,1111.16,L,l,car,15035,overdrive
27872,1114.88,L,l,car,15152,overdrive
28089,1123.56,L,l,car,15215,overdrive
28370,1134.8,L,l,car,15383,overdrive
28766,1150.64,L,l,car,15696,cruise
28833,1153.32,R,r,car,15734,cruise
29084,1163.36,L,l,car,15895,cruise
29304,1172.16,R,r,truck,15989,cruise
30200,1208.0,L,l,truck,16540,overdrive
30260,1210.4,L,m,car,16552,cruise
30384,1215.36,R,m,truck,16592,overdrive
32065,1282.6,R,r,truck,17639,cruise
32120,1284.8,L,m,truck,17637,cruise
32403,1296.12,R,r,truck,17851,cruise
33368,1334.72,R,m,car,18524,overdrive
33440,1337.6,R,m,car,18561,overdrive
33513,1340.52,L,r,car,18603,overdrive
33593,1343.72,R,l,car,18627,overdrive
33616,1344.64,R,m,car,18647,overdrive
33654,1346.16,L,r,truck,18600,cruise
33831,1353.24,R,l,car,18792,overdrive
34381,1375.24,L,l,car,19039,overdrive
34672,1386.88,R,r,car,19168,overdrive
35015,1400.6,R,l,car,19343,overdrive
35015,1400.6,R,l,car,19346,overdrive
35490,1419.6,R,r,car,19618,cruise
35625,1425.0,R,m,car,19682,overdrive
35639,1425.56,R,l,car,19681,overdrive
35852,1434.08,R,m,truck,19774,cruise
36177,1447.08,L,r,truck,19863,cruise
36390,1455.6,R,r,bus,20036,overdrive
36433,1457.32,L,m,car,20061,overdrive
37054,1482.16,L,l,car,20436,overdrive
37068,1482.72,R,l,truck,20306,overdrive
37458,1498.32,R,r,truck,20714,cruise
37462,1498.48,R,r,bus,20748,overdrive
37801,1512.04,L,m,bus,20880,overdrive
37991,1519.64,L,m,truck,20993,overdrive
38017,1520.68,L,r,truck,20947,cruise
38179,1527.16,L,l,car,21142,overdrive
38283,1531.32,L,l,car,21208,overdrive
38558,1542.32,R,m,car,21290,overdrive
38974,1558.96,L,l,car,21424,overdrive
39296,1571.84,L,l,car,21610,cruise
39506,1580.24,L,l,car,21785,overdrive
40099,1603.96,L,m,car,22074,overdrive
40261,1610.44,L,r,truck,22154,overdrive
40295,1611.8,R,m,truck,22170,overdrive
40330,1613.2,L,l,car,22206,overdrive
40383,1615.32,R,r,truck,22212,cruise
40832,1633.28,R,r,truck,22282,cruise
40900,1636.0,L,r,truck,22374,cruise
41076,1643.04,L,l,car,22555,overdrive
41219,1648.76,L,r,car,22579,cruise
41272,1650.88,L,r,truck,22585,cruise
41418,1656.72,L,r,truck,22652,cruise
42214,1688.56,R,r,truck,23147,overdrive
42593,1703.72,L,l,car,23368,overdrive
42656,1706.24,L,l,car,23396,overdrive
42823,1712.92,R,r,bus,23561,overdrive
42865,1714.6,L,r,bus,23426,cruise
43256,1730.24,L,l,car,23841,overdrive
43306,1732.24,L,l,car,23903,overdrive
43361,1734.44,L,l,car,23941,cruise
43461,1738.44,L,l,car,24031,cruise
43547,1741.88,L,r,truck,24035,cruise
43849,1753.96,R,r,truck,24382,cruise
43924,1756.96,L,m,car,24317,cruise
44209,1768.36,R,m,truck,24611,cruise
44461,1778.44,L,r,truck,24735,cruise
44716,1788.64,L,l,car,25031,overdrive
45062,1802.48,L,r,car,25264,cruise
45167,1806.68,R,l,truck,25315,overdrive
45444,1817.76,L,r,truck,25469,cruise
45506,1820.24,R,m,truck,25516,cruise
45579,1823.16,L,r,truck,25534,cruise
45759,1830.36,R,r,truck,25659,cruise
45776,1831.04,L,l,car,25709,overdrive
45795,1831.8,L,r,truck,25723,overdrive
45822,1832.88,R,r,truck,25700,cruise
45883,1835.32,R,r,truck,25754,cruise
45893,1835.72,L,r,car,25758,cruise
45941,1837.64,L,l,car,25764,overdrive
46090,1843.6,R,r,car,25935,cruise
46223,1848.92,R,l,car,26085,overdrive
46579,1863.16,L,r,bus,26320,overdrive
46620,1864.8,L,r,car,26257,overdrive
46654,1866.16,R,m,bus,26333,cruise
46821,1872.84,L,m,car,26449,overdrive
46960,1878.4,L,l,car,26534,overdrive
47229,1889.16,R,r,truck,26632,cruise
47260,1890.4,R,l,car,26650,overdrive
47366,1894.64,L,l,car,26697,overdrive
47591,1903.64,R,l,car,26798,overdrive
47979,1919.16,R,r,truck,26975,cruise
48100,1924.0,L,l,car,27102,overdrive
48357,1934.28,R,r,truck,27186,cruise
48677,1947.08,L,l,car,27316,overdrive
48697,1947.88,L,m,bus,27417,overdrive
48871,1954.84,L,m,truck,27438,cruise
48961,1958.44,L,m,truck,27589,cruise
49048,1961.92,L,m,car,27675,overdrive
49400,1976.0,R,r,truck,27950,overdrive
49439,1977.56,L,r,truck,27904,cruise
50367,2014.68,R,l,car,28539,overdrive
50460,2018.4,L,l,truck,28680,overdrive
50726,2029.04,L,l,car,28931,overdrive
51140,2045.6,R,r,car,29149,cruise
51348,2053.92,L,l,car,29307,overdrive
51387,2055.48,L,r,car,29311,overdrive
51644,2065.76,L,m,car,29413,cruise
51697,2067.88,L,l,car,29476,overdrive
51800,2072.0,L,l,car,29557,overdrive
51834,2073.36,L,m,car,29496,overdrive
51926,2077.04,L,l,car,29591,overdrive
52049,2081.96,L,r,car,29709,overdrive
52098,2083.92,L,l,car,29755,overdrive
52263,2090.52,L,l,car,29876,overdrive
52439,2097.56,L,m,car,29966,overdrive
53378,2135.12,L,r,truck,30542,cruise
53427,2137.08,L,r,car,30519,cruise
53428,2137.12,L,r,truck,30679,overdrive
53544,2141.76,L,r,truck,30714,cruise
53545,2141.8,L,l,car,30780,overdrive
53811,2152.44,L,m,car,30906,cruise
53879,2155.16,L,l,car,31030,cruise
53890,2155.6,L,m,car,31026,cruise
53893,2155.72,L,r,car,31042,cruise
54162,2166.48,R,r,truck,31232,cruise
54317,2172.68,L,l,car,31337,overdrive
54444,2177.76,R,m,car,31407,overdrive
54469,2178.76,L,m,truck,31336,cruise
54481,2179.24,R,r,truck,31415,overdrive
54489,2179.56,L,l,car,31450,overdrive
54504,2180.16,L,l,car,31432,overdrive
54531,2181.24,L,l,car,31445,cruise
54865,2194.6,L,m,car,31588,overdrive
55013,2200.52,L,l,car,31716,overdrive
55068,2202.72,L,r,bus,31759,cruise
55298,2211.92,L,r,car,31819,cruise
55320,2212.8,R,r,truck,31898,cruise
55808,2232.32,R,l,car,32188,overdrive
55820,2232.8,L,m,car,32204,overdrive
55895,2235.8,L,l,car,32265,overdrive
55900,2236.0,R,m,car,32257,overdrive
56015,2240.6,L,r,truck,32236,cruise
56077,2243.08,R,r,truck,32357,cruise
56229,2249.16,R,r,car,32436,cruise
56825,2273.0,L,l,car,32853,overdrive
56859,2274.36,L,l,car,32875,overdrive
56882,2275.28,L,m,car,32817,cruise
57006,2280.24,R,m,truck,32955,overdrive
57331,2293.24,R,r,car,33185,cruise
57770,2310.8,L,r,truck,33391,cruise
57797,2311.88,R,m,truck,33457,cruise
57858,2314.32,L,r,truck,33499,cruise
58041,2321.64,L,l,car,33610,overdrive
58604,2344.16,L,r,truck,33889,cruise
58746,2349.84,R,r,bus,33965,overdrive
58845,2353.8,L,r,truck,33954,cruise
58988,2359.52,L,m,car,34033,cruise
59001,2360.04,L,l,car,34094,overdrive
59050,2362.0,R,r,truck,34115,overdrive
59181,2367.24,R,l,car,34214,overdrive
59265,2370.6,L,l,car,34291,cruise
59275,2371.0,R,m,car,34298,overdrive
59409,2376.36,L,l,car,34414,overdrive
59535,2381.4,L,m,car,34465,overdrive
59786,2391.44,L,l,car,34623,overdrive
59842,2393.68,L,r,car,34656,overdrive
59861,2394.44,L,r,car,34671,overdrive
60172,2406.88,R,l,car,34791,overdrive
60336,2413.44,R,l,car,34849,overdrive
60549,2421.96,L,r,bus,34949,cruise
60554,2422.16,R,r,truck,34950,overdrive
60669,2426.76,R,r,truck,34986,cruise
60882,2435.28,R,m,car,35124,overdrive
61070,2442.8,L,r,truck,35213,cruise
61194,2447.76,L,l,car,35236,overdrive
61229,2449.16,R,r,bus,35272,overdrive
61241,2449.64,L,r,car,35263,overdrive
61436,2457.44,R,m,truck,35324,cruise
61883,2475.32,L,l,car,35545,overdrive
61935,2477.4,L,l,truck,35566,overdrive
61980,2479.2,L,l,truck,35569,cruise
62048,2481.92,L,m,car,35586,overdrive
62081,2483.24,L,r,car,35649,overdrive
62197,2487.88,R,r,truck,35671,overdrive
62426,2497.04,L,l,car,35752,overdrive
62702,2508.08,R,m,car,35838,cruise
62798,2511.92,L,l,car,35881,overdrive
62862,2514.48,L,r,car,35854,cruise
62955,2518.2,R,r,truck,35968,cruise
63039,2521.56,L,l,car,36027,overdrive
63151,2526.04,L,l,truck,36008,cruise
63243,2529.72,L,r,car,36068,cruise
63314,2532.56,L,l,car,36187,overdrive
63316,2532.64,L,m,bus,36195,overdrive
63538,2541.52,L,m,car,36292,cruise
63822,2552.88,L,l,car,36479,overdrive
63903,2556.12,L,m,car,36494,overdrive
63999,2559.96,L,l,car,36610,overdrive
64497,2579.88,L,l,car,36831,overdrive
64580,2583.2,R,r,truck,36890,cruise
64733,2589.32,L,l,car,36997,overdrive
65190,2607.6,R,m,car,37387,overdrive
65760,2630.4,R,r,car,37785,cruise
65945,2637.8,R,r,car,37923,cruise
66107,2644.28,R,r,truck,38070,overdrive
66121,2644.84,R,r,truck,38070,overdrive
66201,2648.04,R,r,truck,38153,overdrive
66595,2663.8,L,l,car,38302,overdrive
66986,2679.44,R,r,truck,38495,cruise
67274,2690.96,L,r,truck,38598,cruise
67334,2693.36,L,m,car,38779,overdrive
67446,2697.84,L,l,car,38838,overdrive
67457,2698.28,R,l,car,38848,overdrive
68161,2726.44,R,r,truck,39200,cruise
68214,2728.56,R,r,truck,39229,overdrive
68215,2728.6,R,r,bus,39240,overdrive
68647,2745.88,L,l,car,39365,overdrive
68770,2750.8,R,r,truck,39440,cruise
68862,2754.48,L,l,car,39500,overdrive
69373,2774.92,R,r,truck,39712,overdrive
69672,2786.88,R,r,truck,39825,cruise
70182,2807.28,L,r,truck,40024,cruise
70480,2819.2,L,m,car,40209,overdrive
70492,2819.68,L,m,car,40208,cruise
70494,2819.76,L,r,car,40198,cruise
70578,2823.12,R,l,car,40264,overdrive
70710,2828.4,R,l,car,40320,overdrive
71011,2840.44,L,m,car,40436,overdrive
71447,2857.88,L,l,car,40677,overdrive
71721,2868.84,L,m,car,40793,overdrive
72057,2882.28,R,l,car,40938,overdrive
72509,2900.36,L,m,car,41063,overdrive
72927,2917.08,L,r,car,41195,cruise
73644,2945.76,L,r,truck,41470,cruise
74273,2970.92,L,l,car,41788,overdrive
74331,2973.24,R,r,truck,41794,cruise
74393,2975.72,R,r,truck,41821,overdrive
74483,2979.32,L,m,car,41830,overdrive
75219,3008.76,R,l,car,42276,cruise
75245,3009.8,L,m,car,42324,overdrive
75319,3012.76,R,m,truck,42347,cruise
75543,3021.72,L,r,car,42485,cruise
76040,3041.6,R,r,truck,42777,overdrive
76084,3043.36,L,m,truck,42797,overdrive
76094,3043.76,L,r,truck,42753,cruise
76163,3046.52,L,l,car,42892,overdrive
76251,3050.04,L,r,car,42957,overdrive
76286,3051.44,R,r,truck,42960,cruise
76440,3057.6,R,r,truck,43057,overdrive
76497,3059.88,R,l,car,43105,overdrive
76582,3063.28,L,l,car,43159,overdrive
76966,3078.64,L,l,car,43294,overdrive
77117,3084.68,L,l,car,43373,overdrive
77138,3085.52,L,l,car,43368,cruise
77517,3100.68,L,l,car,43592,cruise
77604,3104.16,R,r,truck,43639,cruise
77786,3111.44,R,r,truck,43724,cruise
78012,3120.48,L,m,car,43949,overdrive
78146,3125.84,R,r,truck,44009,overdrive
78432,3137.28,R,r,truck,44154,overdrive
78556,3142.24,L,l,car,44232,overdrive
78973,3158.92,L,r,truck,44431,cruise
79383,3175.32,R,l,car,44734,overdrive
79554,3182.16,L,l,car,44829,overdrive
79613,3184.52,L,l,car,44877,overdrive
79879,3195.16,R,r,car,44984,cruise
79982,3199.28,L,l,car,45045,overdrive
80252,3210.08,L,m,car,45138,overdrive
80285,3211.4,L,l,car,45217,overdrive
80286,3211.44,L,m,car,45202,overdrive
80358,3214.32,R,r,bus,45236,cruise
80528,3221.12,R,m,truck,45315,cruise
80615,3224.6,L,l,car,45392,overdrive
80663,3226.52,L,m,truck,45422,overdrive
80693,3227.72,L,l,car,45450,overdrive
80704,3228.16,R,r,bus,45427,cruise
80828,3233.12,R,r,truck,45522,cruise
80897,3235.88,L,l,truck,45570,cruise
81024,3240.96,R,r,truck,45663,cruise
81082,3243.28,L,l,truck,45723,cruise
81126,3245.04,R,m,car,45783,overdrive
81173,3246.92,L,m,car,45835,overdrive
81189,3247.56,L,m,car,45771,overdrive
82098,3283.92,L,m,car,46358,overdrive
82630,3305.2,R,r,bus,46512,cruise
82637,3305.48,L,m,car,46499,overdrive
82771,3310.84,R,r,car,46575,cruise
83099,3323.96,L,l,car,46700,overdrive
83176,3327.04,L,r,car,46658,cruise
83345,3333.8,L,l,car,46894,overdrive
84019,3360.76,R,r,car,47223,cruise
84231,3369.24,L,l,car,47283,overdrive
84567,3382.68,L,l,car,47441,overdrive
84768,3390.72,L,l,car,47542,overdrive
85093,3403.72,L,r,truck,47682,cruise
85159,3406.36,L,l,car,47761,overdrive
85201,3408.04,L,l,car,47671,cruise
85550,3422.0,L,l,car,48052,overdrive
85642,3425.68,L,m,car,48098,cruise
86028,3441.12,L,m,car,48218,overdrive
86129,3445.16,L,l,car,48276,overdrive
86161,3446.44,L,m,car,48284,overdrive
86420,3456.8,L,l,car,48421,overdrive
86807,3472.28,L,l,car,48622,overdrive
87091,3483.64,L,l,car,48721,overdrive
87205,3488.2,L,m,truck,48761,cruise
87351,3494.04,L,r,truck,48827,cruise
87517,3500.68,L,l,car,48969,overdrive
87699,3507.96,L,r,car,48989,cruise
87934,3517.36,L,m,car,49181,overdrive
88073,3522.92,L,r,truck,49166,cruise
88416,3536.64,R,r,truck,49417,overdrive
88491,3539.64,L,l,car,49423,overdrive
88581,3543.24,R,l,truck,49442,overdrive
89128,3565.12,L,r,truck,49763,cruise
89330,3573.2,L,r,car,49886,cruise
89567,3582.68,R,r,truck,50024,cruise
89835,3593.4,L,r,truck,50134,cruise
89955,3598.2,R,r,truck,50236,cruise
